Government Wine Cellar - Wine and Spirit Consumption and Sales April 2017 - March 2018,,,
Country/Region,Vintage,Product name,Consumption
ALSACE,2007,Alsace Pinot Gris Les Elements Dom. Bott Geyl 2007,5
ALSACE,2007,Riesling Domaine Marcel Deiss,4
ALSACE,2008,Pinot Gris Domaine Rolly Gassmann ,8
ALSACE,2010,Gewurtztraminer Les Princes Abbes Dom Schlumberger ,17
AUSTRALIA,1995,Lindemanns Pyrus,2
AUSTRALIA,1999,Eileen Hardy Shiraz,1
AUSTRALIA,2002,D'Arenberg The Coppermine Road ,1
AUSTRALIA,2002,Giaconda Shiraz Warner Vineyard,3
AUSTRALIA,2002,Katnook Prodicy Shiraz Coonawarra,3
AUSTRALIA,2008,Moss Wood Chardonnay Margaret River,10
AUSTRALIA,2012,Beginning Chardonnay The Lane Adelaide Hills,1
AUSTRALIA,2013,Pierro Chardonnay Margaret River ,4
BORDEAUX (RED),1975,Chateau Margaux,2
BORDEAUX (RED),1979,Chateau Margaux,1
BORDEAUX (RED),1981,Chateau Beychevelle,1
BORDEAUX (RED),1982,Chateau Margaux,1
BORDEAUX (RED),1986,Chateau Beychevelle,1
BORDEAUX (RED),1988,Chateau Belair,4
BORDEAUX (RED),1988,Chateau La Lagune,2
BORDEAUX (RED),1988,Chateau Pichon-Longueville Baron,15
BORDEAUX (RED),1988,Chateau Rausan-segla ,9
BORDEAUX (RED),1988,Chateau Troplong Mondot,1
BORDEAUX (RED),1990,Chateau Brane Cantenac,23
BORDEAUX (RED),1990,Chateau Canon,4
BORDEAUX (RED),1990,Chateau Cos d'Estournel,3
BORDEAUX (RED),1990,Chateau Grand-Puy-Lacoste,20
BORDEAUX (RED),1990,Chateau Langoa Barton,4
BORDEAUX (RED),1990,Chateau Leoville Barton,7
BORDEAUX (RED),1990,Chateau Leoville Poyferre,6
BORDEAUX (RED),1990,Chateau Lynch Bages,6
BORDEAUX (RED),1990,Chateau Pichon-Longueville Comtesse de Lalande ,5
BORDEAUX (RED),1990,Chateau Senejac,4
BORDEAUX (RED),1990,Chateau Talbot,4
BORDEAUX (RED),1990,Domaine de Chevalier,4
BORDEAUX (RED),1994,Chateau Latour a Pomerol ,14
BORDEAUX (RED),1994,Chateau La Grave e Pomeral,3
BORDEAUX (RED),1995,Chateau La Langune,1
BORDEAUX (RED),1995,Chateau Branc-Cantenac ,4
BORDEAUX (RED),1998,Chateau Beausejour-Daffau-Lagarrosse,1
BORDEAUX (RED),1998,Couvent de Jacobins ,1
BORDEAUX (RED),1998,Chateau Lafite Rothschild,1
BORDEAUX (RED),1998,Chateau La Tour,1
BORDEAUX (RED),1998,Chateau Langoa Barton,1
BORDEAUX (RED),1998,Chateau Lynch-Bages,1
BORDEAUX (RED),1998,Chateau Margaux,1
BORDEAUX (RED),1998,Chateau Latour a Pomerol ,2
BORDEAUX (RED),1998,Chateau Trotanoy,1
BORDEAUX (RED),2000,Chateau Cambon la Pelouse,74
BORDEAUX (RED),2005,Chateau Belgrave,1
BORDEAUX (RED),2005,Chateau Brane Cantenac,1
BORDEAUX (RED),2005,Chateau Grand-larose,1
BORDEAUX (RED),2005,Chateau Gruaud-Larose,1
BORDEAUX (RED),2005,Chateau Lagrange ,1
BORDEAUX (RED),2005,Chateau Leoville-Barton,2
BORDEAUX (RED),2005,Chateau Lynch Bages,1
BORDEAUX (RED),2005,Chateau Pichon-Longueville Baron,1
BORDEAUX (RED),2005,Chateau Talbot,1
BORDEAUX (RED),2005,Domaine de Chevalier,1
BORDEAUX (RED),2005,Vieux Chateau Certan,1
BORDEAUX (RED),2006,Chateau Brane-Centenac,1
BORDEAUX (RED),2006,Chateau Cos d'Estournel,1
BORDEAUX (RED),2006,Chateau Gazin,2
BORDEAUX (RED),2006,Chateau Grand-Puy-Lacoste,1
BORDEAUX (RED),2006,Chateau Pichon-Longueville Baron,1
BORDEAUX (RED),2006,Chateau Pichon-Longueville Comtesse de Lalande ,1
BORDEAUX (RED),2006,Chateau Rausan-segla ,1
BORDEAUX (RED),2006,Chateau Saint Pierre 2006,1
BORDEAUX (WHITE),1967,Chateau Suduiraut,1
BORDEAUX (WHITE),1997,Chateau la Tour Blanche ,1
BORDEAUX (WHITE),1997,Chateau Rieussec,6
BURGUNDY(RED),1993,"Gevrey-Chambertin Clos Prier, Mortet",2
BURGUNDY(RED),1995,Clos de Vougeot Drouhin Lorose,3
BURGUNDY(RED),1995,Pommard Grand Clos des epenots Dom. De Courcel,7
BURGUNDY(RED),1996,Chambolle-Musigny Dom. J Drouhim,1
BURGUNDY(RED),1996,Clos de Vougeot Dom. J Drouhin Lorose,2
BURGUNDY(RED),1996,Echezeau Grand Cru Champy Pere & Fils,10
BURGUNDY(RED),1996,Nuits-Saints-Georges Clos des Forets St George,5
BURGUNDY(RED),1996,Savigny Les Lavieres Dom. Tollot-Beau,6
BURGUNDY(RED),1999,Aloxe-Corton Clos du Chapitre Champy ,2
BURGUNDY(RED),1999,Aloxe-Corton Les Fournieres,5
BURGUNDY(RED),1999,Clos de Vougeot Dom. Hudelot-Noellat,16
BURGUNDY(RED),1999,Le Corton Grand Cru ,1
BURGUNDY(RED),1999,Nuits-Saints-Georges Clos les Pruliers,1
BURGUNDY(RED),1999,Pommard Clos des Epeneaux,1
BURGUNDY(RED),1999,Savigny Les Beaunne Les Lavieres,3
BURGUNDY(RED),1999,Volnay Caillerets Ancienne Cuvee Carnot ,1
BURGUNDY(RED),1999,Volnay Clos de la Barre,1
BURGUNDY(RED),1999,Vosne Romanee Les Malconsorts,10
BURGUNDY(RED),2002,Chassangne-Montrachet Chateau de La Maltroye,1
BURGUNDY(RED),2003,Clos de La Roche Grand Cru Dom. David Duband,1
BURGUNDY(RED),2003,Clos de Vougeot Grant Cru Dom. Rene Engel,1
BURGUNDY(RED),2003,Corton Les Grandes Lollieres Grand Cru Dom. Bertagna,1
BURGUNDY(RED),2005,Gevrey-Chambertin au Closeau Dom. D Laroze,1
BURGUNDY(RED),2005,Gevrey-Chambertain Clos Prieur Marc Roy ,1
BURGUNDY(RED),2005,Morey-St-Denis Les Millandes P. Amiot,1
BURGUNDY(RED),2005,"Nuits St George Clos des Grandes Vignes, Montille",1
BURGUNDY(RED),2005,"Nuits St George Les Damodes, J Chauvenet",1
BURGUNDY(RED),2005,"Nuits St George Les Vignes Rondes, C. Coteditot ",1
BURGUNDY(RED),2005,Pommard Les Petit Noizons Dom. De la Vougeraie,1
BURGUNDY(RED),2005,Volnay 1er Cru Cailleret dom Nicolas Rossignol ,1
BURGUNDY(RED),2005,Vosne-Romanee Les Suchots ,1
BURGUNDY (WHITE),1985,Batard-Montrachet JN Gagnard,7
BURGUNDY (WHITE),1990,Corton-Charlemagne Bonneau du Martray,2
BURGUNDY (WHITE),1997,Corton-Charlemagne Bonneau du Martray,7
BURGUNDY (WHITE),2004,Chablis Grand Cru Les clos WM Fevre,8
BURGUNDY (WHITE),2004,Chassangne-Montrachet La Grande Montagne ,18
BURGUNDY (WHITE),2004,Chassagne-Montrachet Les Caillerets,1
BURGUNDY (WHITE),2004,Puligny-Montrachet Champ Gain L Jadot Dom. Gagey ,9
BURGUNDY (WHITE),2004,Puligny-Montrachet Hameau de Blagny ,3
BURGUNDY (WHITE),2005,Corton-Charlemagne Grand Cru Bonneau du Martray,9
BURGUNDY (WHITE),2006,Corton-Charlemagne Grand Cru Repat Pere & Fils ,10
BURGUNDY (WHITE),2006,Meursault-Charmes dom. Henri Germain et Fils,36
BURGUNDY (WHITE),2006,Puligny-Montrachet Chateau de Puligny-Montrachet,10
BURGUNDY (WHITE),2006,Puligny-Montrachet Les Polatieres dom. Louis Jadot ,11
BURGUNDY (WHITE),2006,Puligny-Montrachet Les Referts dom. Remoissenet Pere et Fils,4
BURGUNDY (WHITE),2007,Meursault Santenots Dom. Marquis d'Angerville ,27
BURGUNDY (WHITE),2007,Monthelie Chateau de Puligny-Montrachet ,3
BURGUNDY (WHITE),2007,Pouilly-Fuisse Les Vielles Vignes Chateau de Fuisse,12
BURGUNDY (WHITE),2008,Chablis Cuvee G Moreau Dom. Chateau Moreau ,5
BURGUNDY (WHITE),2008,Corton-Charlemagne Grand Cru Dom. Bonneau du Martray,35
BURGUNDY (WHITE),2008,Puligny-Montrachet Clos de la Garenne Duc de Magenta,2
BURGUNDY (WHITE),2013,Meursault-Charmes Louis Jadot,4
BURGUNDY (WHITE),2014,Chablis Vaillon Moreau-Naudet 2014,12
BURGUNDY (WHITE),2014,"Chassagne-Montrachet Les Champ Gains, Dom M Neillon 2014",12
,,,
CHAMPAGNE,,Louis Roederer Brut NV,12
CHAMPAGNE,,Louis Roederer Carte Blanche NV,6
CHAMPAGNE,,Pol Roger NV,3
CHAMPAGNE,1996,Louis Roederer Crystal,1
COGNAC,1921,Martell,0.75
COGNAC,1960,Hine,0.25
COGNAC,1948,Frapin Grand Champagne,0.5
COGNAC,N/A,Marquis de Puysegur VSOP Armagnac,0.25
ENGLISH (STILL,2009,Chapel Down Chardonnay,10
ENGLISH (STILL,2009,Chapel Down Pinot Blanc,10
ENGLISH (STILL,2009,Three Choirs Willow Brook,3
ENGLISH (STILL,2010,Camel Valley Atlantic Dry,18
ENGLISH (STILL,2010,Chapel Down Chardonnay,23
ENGLISH (STILL,2010,Furleigh Estate Bacchus Fume,36
,,,
ENGLISH (SPARKLING),2001,Chapel Down Pinot Reserve,6
ENGLISH (SPARKLING),2009,Coates & Seely La Perfide,4
ENGLISH (SPARKLING),2009,Ridgeview Grosvenor,5
ENGLISH (SPARKLING),2010,Breaky Bottom Koizumi Yakumo,91
ENGLISH (SPARKLING),2010,Camel Valley Brut Rose,7
ENGLISH (SPARKLING),2010,Furleigh Estate Rose ,120
ENGLISH (SPARKLING),2010,Nyetimber Classic Cuvee Reserve,85
ENGLISH (SPARKLING),2012,Ancre Hill Sparkling Rose ,14
ENGLISH (SPARKLING),2013,Camel Valley Pinot Noir Brut ,58
ENGLISH (SPARKLING),2013,Ridgeview Bloomsbury,19
ENGLISH (SPARKLING),N/A,Nyetimber Classic Cuvee NV,50
ENGLISH (SPARKLING),N/A,Nyetimber Demi Sec NV,36
ITALY,2001,Flaccianello della Pieve Fontodi,4
LOIRE,2002,Pouilly =-Fume Chateau de Tracey,4
LOIRE,2006,Sancerre Roland Tissiere,3
LOIRE,2010,Sancerre Nuance Vincent Pinard,4
LOIRE,2010,Sancerre Dom Vacheron,6
MOSEL,2001,Scharzhofberger Riesling Spatlese Von Hovel,5
MOSEL,2001,Graacher Himmelreich Riesling Spatlese   JJ Prum,7
MOSEL,2001,Wehlener Sonnenuhr Riesling Spatlese   JJ Prum,19
NEW ZEALAND,2002,Craggy Range Le Sol Syrah,1
NEW ZEALAND,2004,Dry River Pinot Noir Martinborough,2
NEW ZEALAND,2008,Felton Road Chardonnay Marlborough,1
NEW ZEALAND,2011,Dog Point Vineyard Chardonnay Marlborough,1
NEW ZEALAND,2013,Dry River Chardonnay Martinborough,1
PORT,1977,Dow ,3
PORT,1977,Taylor ,6
PORT,1977,Warre ,3
PORT,1983,Fonseca ,1
PORT,1983,Taylor ,2
PORT,1983,Warre ,9
PORT,1985,Cockburn,3
PORT,1985,Graham,1
PORT,1985,Graham,1
PORT,2000,Croft,1
RHINE,2011,Roxheimer Hollenpfad Riesling Trocken Herman Donnhoff,14
RHONE,1985,Cote-Rotie Emile Champet ,6
RHONE,1988,Cote-Rotie Cote Brune et Blonde Gaillard,2
RHONE,1998,Cote-Rotie R&P Jasmin ,15
RHONE,1998,"Chateauneuf-du-Pape, Clos Des Papes ",19
RHONE,1998,Cote du Rhone Villages Clos Des Papes,1
RHONE,2007,Cote-Rotie la Cote Brune Dom Jean-Michel Stephen,22
SOUTH AFRICA,2002,Mont Du Toit Wellington,1
SOUTH AFRICA,2003,Rustenburg Peter Barlow Cabernet Sauvignon,5
SOUTH AFRICA,2008,Klein Constantia Vin de Constance,1
SOUTH AFRICA,2008,Hamilton Russell Chardonnay,3
SOUTH AFRICA,2012,Rustenburg Five Soldiers Chardonnay Stellenbosch,2
SOUTH AFRICA,2012,Meerlust Estaste Chardonnay Stellenbosch,1
SOUTH AFRICA,2014,Hamilton Russell Chardonnay,1
SOUTH AFRICA,2013,Klein Constantia Estate Cap classique Sparkling,1
SPAIN,1999,Vega Sicilia Valbuena ,5
SPAIN,2000,Rioja Muga Reserva Seleccion Especial ,4
SPAIN,2000,Bodega Alion Ribera del Duero ,33
RECEPTION WINES,2014/15,Chapel Down Bacchus,1637
RECEPTION WINES,2014,Cotes des Rhone Bastide,7
RECEPTION WINES,2016,Valpolicella Allegrini,836
SPIRITS,,Gin,27.75
SPIRITS,,Black Label Whisky,0.5
SPIRITS,,Caol Ila 18 year old  Single Malt Whisky,0.5
